;latitud;longitud;profundidad;magnitud;err_prof;err_h
117;-34.551;-72.318;13.2;3.9;9.7;3.95
118;-32.35;-72.533;25.8;3.7;1.5;1.55
119;-33.498;-72.204;40.3;4.6;1.5;1.35
120;-35.528;-73.47;7.1;3.9;11.4;7.05
121;-31.884;-69.997;151;3.8;3.2;1.8
122;-31.612;-69.27;191.5;3.8;7;3.8
123;-31.673;-69.316;119.7;3.9;9.6;2.85
124;-32.505;-71.805;41.2;3.8;1.3;1.4
125;-34.08;-70.905;74.9;2.3;1;0.35
126;-33.308;-70.456;87;3.3;1.1;0.65
127;-34.78;-70.907;87.6;2.8;1.4;0.9
128;-31.629;-71.691;25;3.9;3.3;2.15
129;-30.699;-71.833;5;4.7;1.7;1.65
130;-31.543;-69.984;188;4.7;5.6;3.15
131;-33.947;-72.201;31.4;3.6;7.7;1.3
132;-30.666;-71.562;43.5;4.9;1.6;2
133;-30.601;-71.955;32;4;63.1;18.5
134;-31.466;-72.227;20;0;2.1;2.3
135;-32.379;-70.183;112.7;0;2.3;1.3
136;-32.653;-71.701;32.7;3.4;1.5;1.2
137;-33.143;-69.711;3.8;4;1.1;0.85
138;-37.579;-72.235;103;4.1;5.6;3.9
139;-34.867;-70.973;92;2.8;1.8;1.1
140;-32.045;-71.53;27.4;4.5;0.9;0.8
141;-33.258;-71.278;54.9;3.5;2;0.7
142;-31.33;-69.703;179.2;0;4.8;2.75
143;-32.647;-70.725;99.3;2.8;1.7;1.15
144;-31.74;-69.591;142;3.4;5.8;2.45
145;-34.012;-70.727;98.1;0;0.6;0.3
146;-30.507;-70.179;118;3.7;11.6;4.55
147;-30.039;-71.413;24.8;4.2;1.7;2.8
148;-29.228;-69.778;67.4;3.9;43.3;4.95
149;-34.267;-70.673;101.4;3.6;0.7;0.35
150;-35.903;-70.426;210.3;0;4.2;2.95
151;-34.679;-72.283;2.4;0;16.1;6.4
152;-34.164;-70.986;75.4;2.6;1;0.35
153;-30.6;-71.439;39;4.1;22.7;7.55
154;-32.702;-71.762;16.3;3.6;27.1;1.65
155;-31.352;-69.662;193.3;3.7;6;3.4
156;-35.339;-71.574;90.9;0;6.2;2.4
157;-33.895;-70.457;13.3;0;2;1.25
158;-34.019;-70.978;71.9;3.8;2.5;0.75
159;-33.666;-70.722;78.5;2.5;0.7;0.4
160;-31.633;-70.095;144.7;3.2;5.1;2.5
161;-32.356;-69.717;130.6;0;3.9;2.15
162;-34.484;-70.657;99.4;0;0.9;0.55
163;-32.996;-70.399;102.3;0;1.3;0.8
164;-36.017;-71.132;143.8;0;8.8;3.85
165;-33.902;-70.882;75.7;0;1.4;0.5
166;-33.584;-71.967;13.2;4;1;0.75
167;-34.405;-70.627;109.9;3.2;1;0.6
168;-32.746;-71.509;16.7;3.6;15.2;1
169;-31.823;-71.941;18.2;4;2.8;2.05
170;-32.766;-71.511;14.4;3.9;1.2;1.1
171;-32.738;-71.525;16.6;3.3;16.4;0.9
172;-31.527;-69.852;169.1;3.5;4.1;2.35
173;-33.89;-72.1;46.2;3.7;48.7;14.9
174;-32.634;-71.732;5.7;0;3.5;2.2
175;-34.01;-70.981;66.3;0;1.4;0.45
176;-33.081;-70.368;101.2;3.7;1.5;1
177;-34.042;-72.288;36.5;0;4.6;1.5
178;-33.945;-71.718;40.9;0;3.2;1.2
179;-31.148;-71.711;23.4;0;2.3;1.65
180;-33.49;-70.051;7.8;0;1.4;1.15
181;-35.663;-71.261;133.9;0;4.8;1.9
182;-33;-70.2;105.5;0;2.2;1.5
183;-31.747;-69.833;154.2;0;14.4;6.45
184;-33.827;-70.182;112;0;1.4;0.95
185;-32.778;-71.704;15.8;0;7.9;2.25
186;-31.031;-72.362;6.5;4.1;5.7;3.8
187;-32.23;-71.762;28.1;3.9;1.3;1.15
188;-34.287;-70.226;11.6;0;0.7;0.65
189;-33.278;-71.883;20.5;3.7;5.5;0.65
190;-33.424;-68.694;27.8;0;1.2;0.7
191;-34.315;-70.684;98.3;0;0.9;0.55
192;-33.728;-70.207;14.6;0;1.5;1.3
193;-32.715;-71.867;13.9;0;8.5;3.5
194;-31.443;-69.383;212.4;4;4.5;3.25
195;-34.25;-70.516;111.1;0;1.7;1.15
196;-32.789;-70.594;87.6;0;0.9;0.55
197;-32.437;-71.584;46.7;3.8;0.7;0.8
198;-33.477;-72.204;6;3.7;0.9;0.75
199;-34.499;-70.656;107;0;1.2;0.65
200;-39.131;-71.568;127.4;0;9.2;4.95
201;-34.863;-71.194;90.2;2.9;2.4;1.1
202;-29.786;-72.078;6.8;5;2.1;2.4
203;-32.491;-71.821;15.1;3.5;7.4;3
204;-31.767;-71.879;28.3;4.2;1.3;0.95
205;-31.958;-69.787;130.2;3.2;7.6;4.4
206;-32.152;-70.58;123.1;3.8;3.7;1.6
207;-32.357;-70.071;124.1;4.1;2.8;1.8
208;-33.162;-70.325;101.5;2.5;1.3;1.15
209;-32.429;-70.074;118.3;4.1;1.9;1.25
210;-33.913;-70.643;99.7;0;1;0.7
211;-32.222;-71.683;14.6;4.5;12.5;5.5
212;-32.734;-71.744;13;4.5;1.4;1
213;-34.028;-70.126;7.2;4;0.9;0.8
214;-32.712;-71.716;8.6;3.5;6.9;2.9
215;-30.936;-71.413;14.8;4.2;6.7;6.85
216;-32.737;-71.726;18.5;3.5;34.6;1.45
217;-33.251;-68.638;3.9;4.3;12.6;5.1
218;-33.56;-70.542;12.1;0;2.8;0.95
219;-32.668;-71.686;42.8;3.7;1.4;1.75
220;-32.537;-71.774;4.2;3.7;6.8;2.8
221;-33.741;-71.892;18.5;3.6;10.2;1
222;-30.27;-72.205;15;4.4;53.6;29.2
223;-32.303;-69.883;135.9;3.2;1.8;1.3
224;-35.438;-71.611;94.8;3.8;7.2;2
225;-35.783;-71.927;92.1;3.4;7.7;3.75
